Name,Organisation_context,Geography,Languages_used,Safeguarding_focus,Protected_characteristics,Message,Result_with_context,Result_no_context,Result_no_context_no_examples
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",hahahahaha))) not give a shit man))) this is show only that she not use any brain,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",if i call you a faggot and say it is a joke...will yo ubelieve me,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",I think this gayboy can't read,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Ur mother suck 50dk perday just to raise u be grateful,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",be grateful gayboy,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",why are you people so fkn gay,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Make me a sandwitch,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",went to talk to the devs but found just a few girls,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Can you imagine that two of their devs are females? What did they do to get the gigs?,"['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","She was unprofessional, hysterical then aggressive","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","She was unprofessional, hysterical then aggressive I stayed quiet but wanted to ask if it was that time of the month?","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.99]]","['hate speech', ['gender'], [0.95]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","massive afro or cornrows, what's this? supposed to be web3 networking not catwalk","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","There's too many people on this planet. Kill nazis, save the earth.","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.95]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",There's too many people on this planet.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","There's too many people on this planet. Kill Jews, Kill Palestinians - save the earth. Simple!","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [0.95, 0.97]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Some people are more giften and should be allowed to have resources,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Are you fking kidding me?? You want to play with ponies? What's with this bronie bshit? You're a grown ass man! ,"['hate speech', ['age'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",I don't want to be explaining things again to this slow noobs.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Nooby web3,Nooby web3 is a community for web3 noobies and enthusiasts. We are here to support each other in our interests and education.,"US, UK, Europe, East Asia, Latin America.","English, French, Japaneese",,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","He says he's tired of bending over backwards, but I'm sure he's actually enjoying all of that bending over.","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
